"","IDmuni","muni","Nombre_SP","meanG","porcentaje"
"45","09430","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09430","Quercus faginea",13.8729393125,40.6347972227107
"46","09433","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09433","Quercus ilex",41.08485979,54.0472239676317
"47","09450","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09450","Quercus faginea",36.53418877,63.9903925726658
"48","09478","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09478","Quercus pyrenaica",6.915721905,100
"49","26113","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26113","Fagus sylvatica",36.373765705,52.3516755031351
"50","26183","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26183","Quercus faginea",31.825472,44.8033614062624
"51","26183","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26183","Pinus sylvestris",29.801414925,41.9539280769428
"52","42001","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42001","Pinus pinaster",42.39218424,57.8314458356827
"53","42061","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42061","Pinus nigra",26.03248399,54.1511734299372
"54","42069","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42069","Pinus sylvestris",29.1979796164865,53.1051072391292
"55","42070","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42070","Pinus pinaster",24.0490749614286,54.2387127838203
"56","42078","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42078","Pinus sylvestris",29.7785918255882,63.4644884787095
"57","42080","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42080","Pinus nigra",43.96504405,53.6064783920298
"58","42081","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42081","Pinus pinaster",12.21573327,40.6562866150004
"59","42081","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42081","Pinus sylvestris",13.3276941166667,44.3571040679946
"60","42117","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42117","Pinus sylvestris",15.8975756756522,66.7204670823266
"61","42124","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42124","Pinus pinaster",36.722598085,98.048186183387
"62","42125","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42125","Pinus nigra",25.76851875,50.1679571012545
"63","42129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42129","Pinus pinaster",26.1608791785714,65.3562646907768
"64","42168","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42168","Pinus pinaster",30.25176541,56.6371426785645
"65","42178","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42178","Pinus pinaster",27.888135395,49.3203814888941
"66","42190","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42190","Pinus pinaster",26.2288339925,54.7454932188936
"67","42215","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42215","Pinus sylvestris",27.373985530396,50.0111911810807
"68","53009","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53009","Quercus pyrenaica",12.76299377,68.7501196347202
"69","53011","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53011","Pinus sylvestris",23.995595855,41.8483575066594
"70","53011","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53011","Pinus nigra",33.34380116,58.1516424933406
"71","53013","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53013","Pinus sylvestris",24.1264479,83.1914562047571
"72","53014","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53014","Quercus pyrenaica",13.07492544,100
"73","53016","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53016","Pinus sylvestris",31.324447055,97.1129883208301
"74","53021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53021","Pinus sylvestris",24.9332419514286,74.4495242927474
"75","53027","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53027","Quercus pyrenaica",5.53494039,83.8123775624826
"76","53029","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53029","Juniperus thurifera",4.787871125,100
"77","53031","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53031","Pinus sylvestris",42.34465776,96.1206181303438
"78","53032","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53032","Pinus pinaster",47.60079408,93.4662783378546
"79","53036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53036","Pinus pinaster",34.60008449,55.8516236913622
"80","53042","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53042","Pinus pinaster",30.272173545,54.5166254686017
"81","53044","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53044","Quercus pyrenaica",8.690359455,100
