"","IDmuni","muni","Nombre_SP","meanN"
"51","09450","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09450","Quercus pyrenaica",1144.9262595
"52","09463","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09463","Quercus pyrenaica",748.747102615385
"53","09478","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09478","Quercus pyrenaica",372.104571
"54","26061","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26061","Pinus uncinata",1101.3531366
"55","26110","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26110","Quercus pyrenaica",1026.1081529375
"56","26113","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26113","Quercus pyrenaica",900.699846333333
"57","26162","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26162","Fagus sylvatica",1317.756885
"58","26183","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26183","Pinus sylvestris",882.4264855
"59","42001","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42001","Juniperus thurifera",664.631603857143
"60","42036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42036","Quercus ilex",1480.142221
"61","42045","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42045","Pinus nigra",788.701829
"62","42055","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42055","Quercus ilex",696.745562
"63","42061","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42061","Pinus nigra",965.540804
"64","42069","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42069","Pinus sylvestris",601.931194189189
"65","42070","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42070","Pinus pinaster",516.147495428571
"66","42078","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42078","Pinus sylvestris",861.892359558824
"67","42080","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42080","Pinus nigra",763.519958
"68","42081","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42081","Pinus sylvestris",552.869371666667
"69","42117","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42117","Pinus sylvestris",642.568250782609
"70","42124","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42124","Pinus pinaster",1103.828882
"71","42125","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42125","Pinus nigra",1352.605952
"72","42129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42129","Pinus pinaster",564.133172190476
"73","42160","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42160","Pinus pinaster",853.825728666667
"74","42164","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42164","Quercus ilex",2100.847023
"75","42168","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42168","Pinus pinaster",743.350210142857
"76","42173","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42173","Quercus ilex",615.841730875
"77","42178","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42178","Pinus pinaster",656.99215975
"78","42190","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42190","Pinus pinaster",598.193200625
"79","42215","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42215","Pinus sylvestris",649.240659881188
"80","53004","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53004","Pinus pinaster",391.262127
"81","53009","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53009","Quercus pyrenaica",1432.395698
"82","53011","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53011","Pinus sylvestris",1138.8429995
"83","53013","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53013","Pinus sylvestris",1190.126302
"84","53014","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53014","Quercus pyrenaica",1343.9762105
"85","53016","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53016","Pinus sylvestris",617.1326545
"86","53021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53021","Quercus pyrenaica",729.7366406
"87","53027","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53027","Quercus pyrenaica",450.727179
"88","53029","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53029","Juniperus thurifera",341.299222
"89","53031","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53031","Pinus sylvestris",747.392244
"90","53032","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53032","Pinus pinaster",557.962334
"91","53036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53036","Pinus pinaster",1084.47090933333
"92","53042","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53042","Pinus sylvestris",894.145015333333
"93","53044","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53044","Quercus pyrenaica",1044.128044
