"","IDmuni","muni","Nombre_SP","meanG"
"50","09433","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09433","Quercus ilex",41.08485979
"51","09450","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09450","Quercus faginea",36.53418877
"52","09463","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09463","Pinus sylvestris",23.7550662105
"53","09478","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09478","Quercus pyrenaica",6.915721905
"54","26061","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26061","Fagus sylvatica",22.6098172473077
"55","26110","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26110","Pinus nigra",32.19108397
"56","26113","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26113","Fagus sylvatica",36.373765705
"57","26162","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26162","Pseudotsuga menziesii",26.342562348
"58","26183","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/26183","Quercus faginea",31.825472
"59","42001","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42001","Pinus pinaster",42.39218424
"60","42036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42036","Quercus ilex",10.238393855
"61","42045","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42045","Pinus nigra",24.89011042
"62","42055","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42055","Pinus pinaster",20.8210996925
"63","42061","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42061","Pinus nigra",26.03248399
"64","42069","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42069","Pinus sylvestris",29.1979796164865
"65","42070","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42070","Pinus pinaster",24.0490749614286
"66","42078","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42078","Pinus sylvestris",29.7785918255882
"67","42080","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42080","Pinus nigra",43.96504405
"68","42081","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42081","Pinus sylvestris",13.3276941166667
"69","42117","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42117","Pinus sylvestris",15.8975756756522
"70","42124","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42124","Pinus pinaster",36.722598085
"71","42125","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42125","Pinus nigra",25.76851875
"72","42129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42129","Pinus pinaster",26.1608791785714
"73","42160","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42160","Fagus sylvatica",23.2536474716667
"74","42164","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42164","Pinus sylvestris",20.942873865
"75","42168","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42168","Pinus pinaster",30.25176541
"76","42173","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42173","Pinus sylvestris",21.8058976653043
"77","42178","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42178","Pinus pinaster",27.888135395
"78","42190","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42190","Pinus pinaster",26.2288339925
"79","42215","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42215","Pinus sylvestris",27.373985530396
"80","53004","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53004","Robinia pseudacacia",14.49020134
"81","53009","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53009","Quercus pyrenaica",12.76299377
"82","53011","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53011","Pinus nigra",33.34380116
"83","53013","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53013","Pinus sylvestris",24.1264479
"84","53014","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53014","Quercus pyrenaica",13.07492544
"85","53016","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53016","Pinus sylvestris",31.324447055
"86","53021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53021","Pinus sylvestris",24.9332419514286
"87","53027","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53027","Quercus pyrenaica",5.53494039
"88","53029","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53029","Juniperus thurifera",4.787871125
"89","53031","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53031","Pinus sylvestris",42.34465776
"90","53032","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53032","Pinus pinaster",47.60079408
"91","53036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53036","Pinus pinaster",34.60008449
"92","53042","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53042","Pinus pinaster",30.272173545
"93","53044","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53044","Quercus pyrenaica",8.690359455
