"","IDmuni","muni","Nombre_SP","meanN","porcentaje"
"46","42070","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42070","Pinus pinaster",516.147495428571,61.6764876526148
"47","42078","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42078","Pinus sylvestris",861.892359558824,63.8320165321423
"48","42081","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42081","Pinus sylvestris",552.869371666667,45.8344735709759
"49","42117","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42117","Pinus sylvestris",642.568250782609,52.1108719804864
"50","42117","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42117","Quercus pyrenaica",585.417848,47.4761000019291
"51","42124","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42124","Pinus pinaster",1103.828882,89.6581442118535
"52","42125","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42125","Pinus nigra",1352.605952,72.835447965142
"53","42129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42129","Pinus sylvestris",406.039970875,41.8523202561583
"54","42129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42129","Pinus pinaster",564.133172190476,58.1476797438417
"55","42164","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42164","Quercus ilex",2100.847023,45.1689006904394
"56","42168","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42168","Pinus pinaster",743.350210142857,53.0627338523348
"57","42190","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42190","Pinus pinaster",598.193200625,47.4491871527731
"58","42215","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/42215","Pinus sylvestris",649.240659881188,43.1412365357907
"59","53004","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53004","Pinus pinaster",391.262127,52.1692655183224
"60","53009","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53009","Quercus pyrenaica",1432.395698,80.5168986138258
"61","53011","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53011","Pinus sylvestris",1138.8429995,65.287915640372
"62","53013","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53013","Pinus sylvestris",1190.126302,74.0102639068116
"63","53014","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53014","Quercus pyrenaica",1343.9762105,100
"64","53016","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53016","Pinus sylvestris",617.1326545,82.8970497306273
"65","53021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53021","Pinus sylvestris",652.606553714286,46.7319069784864
"66","53021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53021","Quercus pyrenaica",729.7366406,52.2550449627301
"67","53027","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53027","Quercus pyrenaica",450.727179,90.743377854708
"68","53029","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53029","Juniperus thurifera",341.299222,100
"69","53031","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53031","Pinus sylvestris",747.392244,98.6554623099962
"70","53032","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53032","Pinus pinaster",557.962334,95.1737451744038
"71","53036","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53036","Pinus pinaster",1084.47090933333,44.2201406469575
"72","53042","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53042","Pinus sylvestris",894.145015333333,65.2264401245957
"73","53044","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/53044","Quercus pyrenaica",1044.128044,100
